incident_id,date,date_precision,time_of_day,time_local,location,country,shape,size,color,object_count,behavior,duration,sensors,witness_count,witness_types,agencies,n_agencies,n_source_docs,n_records_merged,explanation_status,confidence,summary,source_docs
INC-0001,1940-11-08,day,dawn,1940,Panama,Panama,comet,larger than Venus,star-like,1,stationary,40 minutes,visual,1,government-civilian,Department of War,1,1,1,partially-explained,medium,A comet-like object with a long cone of light was observed for 40 minutes.,38_143685_box7_incident_summaries_173-233
INC-0002,1943,year,unknown,,European and Far East theaters,,balls of light,,,,fly near or with aircraft; maneuver rapidly,,visual,,military-pilot,CIA,1,1,1,unexplained,medium,Foo Fighters sightings during World War II.,pursue-r3--cia-uap-002
INC-0003,1943-11-03,day,morning,1040,"Andrews Fld, Md",USA,round,unknown,unknown,3,unknown,unknown,visual,3,military-pilot,Department of War,1,1,1,explained,high,Cluster of balloons identified as cosmic ray equipment.,38_143685_box7_incident_summaries_173-233
INC-0004,1944,year,unknown,,Gut Alt Golssen,Germany,circular,"75 to 100 yards in diameter, 14 feet high",dark gray,1,vertically rising; moving horizontally; engine stalling,,visual,1,civilian,FBI,1,1,1,not-assessed,high,"Wladyslaw Krasuski observed a large, circular, vertically-rising vehicle near a German military compound while working as a prisoner of war.",65_hs1-101634279_100-de-26505
INC-0005,1944,year,unknown,,"Gut Alt Golssen, Germany",Germany,circular,75-100 yards diameter,dark gray,1,rising vertically; moving horizontally,,visual,1,civilian,FBI,1,1,1,not-assessed,high,Wladyslaw Krasuski observed a circular vehicle while a German POW.,65_hs1-834228961_62-hq-83894_section_8
INC-0006,1944,year,unknown,,,Germany,circular,,,,vertically-rising,,visual,1,civilian,FBI,1,1,1,unexplained,medium,"German military compound sighting of a large, circular, vertically-rising vehicle.",pursue-r1-record-index
INC-0007,1944-10-11,day,afternoon,1300,"Neubiberg, Germany",Germany,round,unknown,silver,1,stationary,45 minutes,visual,6,military-other,Department of War,1,1,1,not-assessed,high,Shiny round object observed for 45 minutes.,38_143685_box7_incident_summaries_173-233
INC-0008,1944-11,month,unknown,,"Black Forest, Austria",Austria,saucer,21 feet diameter,,1,flight; parked,,visual; photo,1,military-other,FBI,1,1,1,not-assessed,high,Paul L. Peyerl reported photographing a saucer-shaped aircraft in the Black Forest of Austria in 1944 while serving as a test pilot.,65_hs1-834228961_62-hq-83894_section_10
INC-0009,1944-12-14,day,night,18:40,Erstein,France,,large,red,,traveling,,visual,,military-pilot,415th Night Fighter Squadron,1,1,1,not-assessed,high,Pilot observed a large red light traveling East at 200 MPH.,331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents
INC-0010,1944-12-16,day,night,,Breisach,Germany,T-shape,,red and green,,flashing; followed aircraft,,visual,,military-pilot,415th Night Fighter Squadron,1,1,1,not-assessed,high,Pilot observed 5 or 6 flashing red and green lights in a T-shape that followed the aircraft.,331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents
